,country,variety,price,points
1,Portugal,Portuguese Red,15.0,87
2,US,Pinot Gris,14.0,87
3,US,Riesling,13.0,87
4,US,Pinot Noir,65.0,87
7,France,Gewürztraminer,24.0,87
8,Germany,Gewürztraminer,12.0,87
9,France,Pinot Gris,27.0,87
10,US,Cabernet Sauvignon,19.0,87
11,France,Gewürztraminer,30.0,87
12,US,Cabernet Sauvignon,34.0,87
14,US,Chardonnay,12.0,87
15,Germany,Riesling,24.0,87
16,Argentina,Malbec,30.0,87
17,Argentina,Malbec,13.0,87
18,Spain,Tempranillo Blend,28.0,87
20,US,Red Blend,23.0,87
21,US,Pinot Noir,20.0,87
22,Italy,White Blend,19.0,87
23,US,Merlot,22.0,87
25,US,Pinot Noir,69.0,87
26,Italy,White Blend,13.0,87
28,Italy,Red Blend,17.0,87
33,US,Red Blend,50.0,86
34,US,Sauvignon Blanc,20.0,86
35,US,Pinot Noir,50.0,86
37,Italy,Cabernet Sauvignon,21.0,86
41,US,Pinot Noir,22.0,86
42,France,Gamay,9.0,86
43,US,Sauvignon Blanc,14.0,86
44,Chile,Merlot,9.0,86
45,US,Red Blend,40.0,86
47,US,Riesling,13.0,86
48,US,Sauvignon Blanc,16.0,86
49,France,Gamay,14.0,86
53,France,Bordeaux-style White Blend,15.0,85
55,US,Chardonnay,30.0,85
56,US,Chardonnay,14.0,85
58,Chile,Pinot Noir,13.0,85
59,US,Malbec,55.0,86
60,US,Cabernet Sauvignon,100.0,86
61,Italy,Sangiovese,17.0,86
62,US,Cabernet Franc,25.0,86
63,France,Champagne Blend,58.0,86
64,US,Sauvignon Blanc,26.0,86
65,France,Chardonnay,24.0,86
66,France,Chardonnay,15.0,86
67,US,Bordeaux-style Red Blend,46.0,86
68,US,Red Blend,12.0,86
69,France,Champagne Blend,55.0,86
70,US,Chardonnay,12.0,86
71,US,Cabernet Sauvignon,40.0,86
73,US,Cabernet Sauvignon,75.0,86
74,US,Petite Sirah,55.0,86
75,US,Bordeaux-style Red Blend,75.0,86
76,Germany,Riesling,9.0,86
77,Australia,Chardonnay,18.0,86
78,US,Pinot Noir,25.0,86
80,Chile,Carmenère,12.0,86
83,Australia,Rosé,20.0,86
84,US,Zinfandel,24.0,86
85,Germany,Riesling,10.0,86
87,US,Merlot,55.0,86
90,US,Red Blend,23.0,88
91,US,Pinot Gris,18.0,88
93,Austria,Grüner Veltliner,12.0,88
94,US,Viognier,22.0,88
95,France,Gamay,20.0,88
96,France,Gamay,18.0,88
97,US,Riesling,20.0,88
98,Italy,Sangiovese,30.0,88
99,US,Bordeaux-style Red Blend,75.0,88
100,US,Pinot Gris,18.0,88
101,US,Riesling,20.0,87
102,US,Riesling,20.0,87
103,Chile,Chardonnay,18.0,87
104,Italy,Red Blend,16.0,87
105,Italy,White Blend,14.0,87
106,Italy,Red Blend,30.0,87
108,US,Zinfandel,26.0,87
109,Italy,Red Blend,30.0,87
110,France,Gamay,23.0,87
111,US,Cabernet Sauvignon,85.0,87
112,Italy,Red Blend,15.0,87
113,Italy,White Blend,19.0,87
114,US,Bordeaux-style Red Blend,18.0,87
115,US,Chardonnay,18.0,87
117,US,Syrah,44.0,87
118,Italy,Red Blend,80.0,87
119,France,Riesling,80.0,92
120,Italy,Nebbiolo,70.0,92
121,US,Chardonnay,36.0,92
122,US,Zinfandel,39.0,92
124,US,Cabernet Sauvignon,45.0,92
125,South Africa,Cabernet Sauvignon,45.0,91
126,France,Gewürztraminer,48.0,91
127,France,White Blend,13.0,91
129,South Africa,Bordeaux-style Red Blend,25.0,91
130,Italy,Nebbiolo,70.0,91
132,South Africa,Cabernet Sauvignon,30.0,91
133,Italy,Nebbiolo,68.0,91
134,US,Cabernet Sauvignon,78.0,91
135,Italy,Nebbiolo,60.0,91
136,France,Bordeaux-style Red Blend,50.0,91
139,France,Pinot Gris,112.0,90
140,Italy,Barbera,26.0,90
141,Italy,Nebbiolo,45.0,90
142,US,Riesling,17.0,90
143,France,Pinot Gris,84.0,90
144,US,Cabernet Sauvignon,85.0,91
145,US,Pinot Noir,64.0,91
146,US,Cabernet Sauvignon,68.0,91
147,US,Cabernet Sauvignon,68.0,91
148,Germany,Riesling,16.0,91
149,US,Rhône-style Red Blend,35.0,91
150,US,Cabernet Sauvignon,25.0,91
151,Portugal,Portuguese White,30.0,91
152,US,Pinot Noir,55.0,91
153,US,Syrah,46.0,91
155,US,Syrah,36.0,91
156,Germany,Riesling,14.0,91
157,Portugal,Portuguese Red,26.0,91
158,Italy,Sangiovese,38.0,91
160,France,Malbec,35.0,91
161,US,Red Blend,35.0,91
162,US,Riesling,28.0,91
164,Chile,Red Blend,29.0,91
165,Chile,Cabernet Sauvignon,32.0,91
167,US,Cabernet Franc,28.0,91
168,US,Merlot,95.0,91
169,US,Pinot Noir,44.0,91
170,Germany,Riesling,30.0,91
171,Germany,Riesling,22.0,91
172,Chile,Cabernet Sauvignon,20.0,91
173,US,Pinot Noir,38.0,91
174,New Zealand,Sauvignon Blanc,19.0,88
176,Chile,Red Blend,50.0,88
177,Italy,Sangiovese,22.0,88
178,US,Syrah,25.0,88
179,France,Chardonnay,27.0,88
180,US,Chardonnay,23.0,88
181,US,Pinot Noir,36.0,88
184,US,Chardonnay,35.0,88
185,Chile,Carmenère,15.0,88
186,US,Pinot Noir,40.0,88
187,Italy,Red Blend,48.0,88
188,Chile,Merlot,11.0,88
189,Chile,Chardonnay,11.0,87
190,Italy,Red Blend,26.0,87
191,Australia,Cabernet Sauvignon,30.0,87
192,Italy,Red Blend,20.0,87
193,France,Chardonnay,35.0,87
198,US,Cabernet Sauvignon,60.0,90
199,US,Cabernet Franc,28.0,90
201,Italy,White Blend,62.0,90
202,Israel,Syrah,50.0,90
203,Portugal,Portuguese Red,28.0,90
205,US,Chardonnay,25.0,90
206,US,Cabernet Sauvignon,25.0,90
207,US,Zinfandel,32.0,90
208,South Africa,White Blend,40.0,90
209,France,Rhône-style Red Blend,16.0,90
210,South Africa,Chardonnay,20.0,90
211,France,Rhône-style Red Blend,32.0,90
213,US,Red Blend,48.0,90
214,US,Rhône-style Red Blend,36.0,90
215,Israel,Bordeaux-style Red Blend,80.0,90
216,Italy,Sangiovese,57.0,90
217,Portugal,Portuguese Red,20.0,90
220,US,Chardonnay,40.0,90
224,Argentina,Malbec,22.0,90
225,South Africa,Chardonnay,25.0,90
227,US,Pinot Noir,15.0,85
228,US,Riesling,14.0,85
229,US,Red Blend,18.0,85
230,US,Gewürztraminer,16.0,85
232,Australia,Shiraz,12.0,85
233,US,Pinot Noir,28.0,85
235,US,Syrah,49.0,85
236,US,Cabernet Sauvignon,85.0,85
238,Australia,Grenache,29.0,85
239,US,Cabernet Sauvignon,36.0,85
241,US,Sangiovese,34.0,85
242,US,Chardonnay,15.0,85
243,US,Chardonnay,30.0,85
244,Spain,Red Blend,13.0,85
245,Argentina,Chardonnay,12.0,85
246,Australia,Sauvignon Blanc,15.0,85
247,US,Merlot,25.0,85
248,US,Pinot Noir,45.0,85
249,US,Bordeaux-style Red Blend,18.0,85
250,US,Cabernet Sauvignon,49.0,85
251,US,Pinot Noir,22.0,85
252,US,Zinfandel,35.0,85
253,Argentina,Malbec,15.0,85
254,US,Petite Sirah,45.0,89
255,US,Pinot Noir,55.0,89
257,South Africa,Red Blend,18.0,89
258,South Africa,Cabernet Sauvignon,35.0,89
259,France,Malbec,13.0,89
260,US,Pinot Noir,40.0,89
261,Argentina,Red Blend,37.0,89
262,US,Red Blend,39.0,89
263,US,Pinot Noir,60.0,89
264,South Africa,Syrah,19.0,89
265,South Africa,Chardonnay,40.0,89
266,Argentina,Red Blend,14.0,89
267,Italy,White Blend,40.0,89
268,Italy,White Blend,36.0,89
273,Argentina,Red Blend,19.0,89
274,Italy,White Blend,13.0,89
275,Argentina,Cabernet Sauvignon,30.0,89
276,US,Zinfandel,20.0,89
277,US,Cabernet Sauvignon,30.0,89
278,US,Pinot Noir,50.0,89
280,Austria,Grüner Veltliner,24.0,92
281,US,Pinot Noir,34.0,92
282,Italy,Red Blend,41.0,92
283,US,Pinot Noir,52.0,92
284,Argentina,Malbec,215.0,92
286,US,Pinot Noir,60.0,92
289,US,Cabernet Sauvignon,125.0,92
293,Australia,Shiraz,70.0,92
294,Argentina,Malbec,30.0,92
296,Chile,Cabernet Sauvignon,20.0,87
297,US,Cabernet Sauvignon,15.0,87
298,Chile,Cabernet Sauvignon,19.0,87
300,US,Sangiovese,28.0,87
301,US,Chardonnay,14.0,87
303,Italy,Nebbiolo,56.0,87
305,US,Zinfandel,24.0,87
307,France,Pinot Noir,30.0,87
308,Greece,White Blend,18.0,87
309,Italy,Nebbiolo,20.0,87
310,Italy,Nebbiolo,18.0,87
311,New Zealand,Syrah,18.0,87
312,US,Cabernet Sauvignon,40.0,87
314,US,Cabernet Sauvignon,28.0,87
318,Chile,Merlot,18.0,86
323,Chile,Cabernet Sauvignon,35.0,86
327,Chile,Chardonnay,18.0,86
328,US,White Blend,16.0,86
329,US,Zinfandel,34.0,86
330,US,Red Blend,40.0,86
331,Chile,Gewürztraminer,15.0,86
334,France,Champagne Blend,42.0,86
336,Chile,Pinot Noir,35.0,83
337,France,Rosé,16.0,83
338,France,Rosé,11.0,82
339,Spain,Sparkling Blend,13.0,82
340,France,Pinot Gris,18.0,82
341,US,Zinfandel,48.0,82
342,Spain,Sparkling Blend,11.0,82
343,Chile,Pinot Noir,20.0,81
344,Chile,Chardonnay,19.0,80
347,Germany,Riesling,775.0,97
350,Italy,Nebbiolo,150.0,97
352,US,Chardonnay,68.0,96
353,France,Chardonnay,630.0,96
354,Germany,Riesling,365.0,96
355,US,Chardonnay,68.0,96
356,Australia,Shiraz,85.0,95
357,France,Pinot Noir,350.0,95
